,Pts,Gm1,Gm2,Set1,Set2,Serving,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
9339,30-30,0,0,0,0,ND,"6d,",5,b,fw@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9340,30-40,0,0,0,0,ND,4,bd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9341,40-40,0,0,0,0,ND,"6n,",5,b,f,f,f,f,f,f,f,fd@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9342,AD-40,0,0,0,0,ND,4,b,b,f*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9343,40-40,0,0,0,0,ND,5,fn#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9344,AD-40,0,0,0,0,ND,"5d,",6,fd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9345,0-0,1,0,0,0,JLS,4,fd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9346,15-0,1,0,0,0,JLS,4,b,z,m,o*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9347,30-0,1,0,0,0,JLS,6,b,b,s,f,b,bw@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9348,30-15,1,0,0,0,JLS,6,f,s,fd@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9349,40-15,1,0,0,0,JLS,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9350,0-0,1,1,0,0,ND,"6n,",5,b,f,b,f*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9351,15-0,1,1,0,0,ND,"4d,",6,f,b,r,f*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9352,30-0,1,1,0,0,ND,5,f,r,sn@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9353,40-0,1,1,0,0,ND,4,b,b,rn#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9354,0-0,2,1,0,0,JLS,4,f,v*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9355,15-0,2,1,0,0,JLS,"5d,",4,b,b,f,fw@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9356,15-15,2,1,0,0,JLS,4,f,f,r,f,md#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9357,30-15,2,1,0,0,JLS,"4n,",6,fd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9358,40-15,2,1,0,0,JLS,5,b,f,rn#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9359,0-0,2,2,0,0,ND,5,fn#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9360,15-0,2,2,0,0,ND,4,b,b,f,f,fn@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9361,30-0,2,2,0,0,ND,5,f,f,s,fw@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9362,30-15,2,2,0,0,ND,"4n,",5,b,b,fn@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9363,40-15,2,2,0,0,ND,5,b,f,f,b,f,f,md#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9364,0-0,3,2,0,0,JLS,"6n,",6,b,f,b,b,f,f,f,f,f,f,f,bd@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9365,0-15,3,2,0,0,JLS,4,b#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9366,15-15,3,2,0,0,JLS,"6w,",5,f,f,b#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9367,30-15,3,2,0,0,JLS,"6n,",4n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9368,30-30,3,2,0,0,JLS,"6n,",5,f,bn#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9369,30-40,3,2,0,0,JLS,"6n,",5,fn#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9370,40-40,3,2,0,0,JLS,"5n,",6,b,f,f,b,s,f,b,b,f,b,f,f,f,b,y,v*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9371,AD-40,3,2,0,0,JLS,"4n,",4,b,f,b,b,f,b,f,b,f,bw@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9372,40-40,3,2,0,0,JLS,"4w,",5,f,f,f,b,m#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9373,AD-40,3,2,0,0,JLS,4,b,z*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9374,0-0,3,3,0,0,ND,4,fd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9375,15-0,3,3,0,0,ND,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9376,30-0,3,3,0,0,ND,"4n,",5,b,fd@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9377,30-15,3,3,0,0,ND,"5d,",4n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9378,30-30,3,3,0,0,ND,4,f,f,m,o,b,y,v#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9379,40-30,3,3,0,0,ND,4,b,fd@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9380,40-40,3,3,0,0,ND,4,f,f,b,y*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9381,AD-40,3,3,0,0,ND,5,bd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9382,0-0,4,3,0,0,JLS,4,f*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9383,0-15,4,3,0,0,JLS,6,f,f,f,b,s,b,s,s,l,o,f,fw@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9384,0-30,4,3,0,0,JLS,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9385,15-30,4,3,0,0,JLS,6,f,f*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9386,30-30,4,3,0,0,JLS,4,f,f,f,f,f,f,f,bw@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9387,30-40,4,3,0,0,JLS,"6d,",5,f,fd@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9388,0-0,5,3,0,0,ND,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9389,15-0,5,3,0,0,ND,5,fn#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9390,30-0,5,3,0,0,ND,"6n,",5,f,f,b,b,fd@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9391,40-0,5,3,0,0,ND,4,bd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9392,0-0,0,0,1,0,JLS,5,f,z,md@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9393,15-0,0,0,1,0,JLS,"4n,",5,f,b,s,f,f*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9394,15-15,0,0,1,0,JLS,"6w,",5,f,b,b,f,f,f,f,bw@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9395,15-30,0,0,1,0,JLS,6,f,f,f,f,f,b,f,f,f,b,s,zn@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9396,15-40,0,0,1,0,JLS,"5n,",6,b,b,y,u,zn#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9397,30-40,0,0,1,0,JLS,"4e,",6,f,b,f,f,f,f,b,b,s,f,b,b,fw@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9398,40-40,0,0,1,0,JLS,"6n,",6,b,b,f,b,b,b,f,b,f,b,f,f,b,bw#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9399,40-AD,0,0,1,0,JLS,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9400,40-40,0,0,1,0,JLS,"4n,",5,f,b,y,v,z,z,f-*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9401,40-AD,0,0,1,0,JLS,6,f,f,f,s,f*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9402,0-0,1,0,1,0,ND,"4e,",6,b,b,b,b,f,b,f,f,sn#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9403,15-0,1,0,1,0,ND,6,f,f,f*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9404,15-15,1,0,1,0,ND,6,b,o*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9405,30-15,1,0,1,0,ND,"6n,",5,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9406,40-15,1,0,1,0,ND,4,fd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9407,0-0,2,0,1,0,JLS,5,fd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9408,15-0,2,0,1,0,JLS,6,f,f,f,b,b,b*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9409,30-0,2,0,1,0,JLS,6,bd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9410,40-0,2,0,1,0,JLS,"6n,",6d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9411,40-15,2,0,1,0,JLS,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9412,0-0,2,1,1,0,ND,4,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9413,15-0,2,1,1,0,ND,"4d,",5d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9414,15-15,2,1,1,0,ND,6,b#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9415,30-15,2,1,1,0,ND,"6n,",5d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9416,30-30,2,1,1,0,ND,"6n,",4,f,f,b,f,fn@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9417,40-30,2,1,1,0,ND,4,b#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9418,0-0,3,1,1,0,JLS,"6n,",5,f,b,f,bx@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9419,0-15,3,1,1,0,JLS,6,f,f,bd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9420,15-15,3,1,1,0,JLS,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9421,30-15,3,1,1,0,JLS,6,f,f,f,bd@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9422,30-30,3,1,1,0,JLS,5,f,z*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9423,40-30,3,1,1,0,JLS,"4w,",5,f,f,md@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9424,0-0,3,2,1,0,ND,6,b,b,b,b,f,f,b,b,z,f,v,m,t,v*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9425,15-0,3,2,1,0,ND,5,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9426,30-0,3,2,1,0,ND,"6n,",4,f,rd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9427,30-15,3,2,1,0,ND,4,b,f*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9428,40-15,3,2,1,0,ND,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9429,0-0,4,2,1,0,JLS,5,f,v,b,v*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9430,15-0,4,2,1,0,JLS,"4w,",6n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9431,15-15,4,2,1,0,JLS,"6w,",5,b,b,b,f,fn@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9432,30-15,4,2,1,0,JLS,5,b,o*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9433,40-15,4,2,1,0,JLS,"6d,",5,f,z,b#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9434,0-0,4,3,1,0,ND,5,rw#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9435,15-0,4,3,1,0,ND,"4w,",5,f,f*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9436,30-0,4,3,1,0,ND,"4n,",5,bn#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9437,40-0,4,3,1,0,ND,"5n,",5,f,f,b,b,f,fd@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9438,40-15,4,3,1,0,ND,5,f,b*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9439,0-0,5,3,1,0,JLS,"6n,",5,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9440,15-0,5,3,1,0,JLS,4,bn#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9441,30-0,5,3,1,0,JLS,"6w,",5,b*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9442,30-15,5,3,1,0,JLS,4,b,zn@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9443,30-30,5,3,1,0,JLS,"4n,",4,f,f,f,s,s,rn#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9444,30-40,5,3,1,0,JLS,6,f,bn@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9445,0-0,0,0,2,0,ND,"6d,",4,f,f,b,f*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9446,15-0,0,0,2,0,ND,"6d,",5,s,b,s,bd@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9447,15-15,0,0,2,0,ND,5,f,b,s,b,s,f,f,f,s,b,b*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9448,15-30,0,0,2,0,ND,4,b,f*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9449,30-30,0,0,2,0,ND,5,f,fn#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9450,30-40,0,0,2,0,ND,6,f,f,fd@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9451,40-40,0,0,2,0,ND,"6w,",5,b,f,b,f,f,f,s,b,f,fn@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9452,40-AD,0,0,2,0,ND,6,fd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9453,40-40,0,0,2,0,ND,4,f,f,s,f,f,f,fn@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9454,AD-40,0,0,2,0,ND,5,b,b,sd@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9455,0-0,1,0,2,0,JLS,"6n,",6,b,zn@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9456,0-15,1,0,2,0,JLS,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9457,15-15,1,0,2,0,JLS,"6n,",5,fw@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9458,30-15,1,0,2,0,JLS,"6w,",5,fw@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9459,40-15,1,0,2,0,JLS,4,f,f,y,v,z,v,v*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9460,40-30,1,0,2,0,JLS,"6d,",6,f,f,b,f*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9461,0-0,1,1,2,0,ND,4,f,f,b,f,f,f,f,f,s,f,f,f,s,b,f,b*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9462,15-0,1,1,2,0,ND,5,b,f,b,f,fd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9463,30-0,1,1,2,0,ND,4,f,bd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9464,30-15,1,1,2,0,ND,"5d,",5,b,f,f,m,o*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9465,30-30,1,1,2,0,ND,4,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9466,40-30,1,1,2,0,ND,6,f,f,b,f,rd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9467,0-0,2,1,2,0,JLS,4,f*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9468,0-15,2,1,2,0,JLS,6,f,fd@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9469,0-30,2,1,2,0,JLS,4,f,zw@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9470,0-40,2,1,2,0,JLS,"6n,",6,f,f,f,b,y,vw#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9471,0-0,3,1,2,0,ND,4,f,f*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9472,15-0,3,1,2,0,ND,5,b,f,b,b,r,f,f,v,v,v,v,zn@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9473,15-15,3,1,2,0,ND,4,fd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9474,30-15,3,1,2,0,ND,6,f,f,b,o*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9475,40-15,3,1,2,0,ND,6,b#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9476,0-0,4,1,2,0,JLS,"4n,",5,f,f,f,f,f*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9477,0-15,4,1,2,0,JLS,"6w,",6,f,f,f,bn@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9478,0-30,4,1,2,0,JLS,5,b,f,fd@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9479,15-30,4,1,2,0,JLS,5,b,b,f,bd@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9480,15-40,4,1,2,0,JLS,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9481,30-40,4,1,2,0,JLS,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9482,40-40,4,1,2,0,JLS,6,b*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9483,40-AD,4,1,2,0,JLS,6,f,f,f,b,s,fw@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9484,0-0,5,1,2,0,ND,"5n,",5,b,f,bd@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9485,15-0,5,1,2,0,ND,5,b,f*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9486,30-0,5,1,2,0,ND,4,f,rd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9487,30-15,5,1,2,0,ND,"6n,",5d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9488,30-30,5,1,2,0,ND,6,b,f,f,f,f,f,f,f,f,f,b,f,f,fn@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9489,30-40,5,1,2,0,ND,"5n,",5,b,b,r,f,f,b,bn@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9490,40-40,5,1,2,0,ND,"6d,",5,b,b,s,f,r,u*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9491,AD-40,5,1,2,0,ND,6,fw#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9492,0-0,0,0,0,0,ND,6,b28,b3,b3,b1,f3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9493,15-0,0,0,0,0,ND,"6n,",6,f28,f1,f1,f1,f+2,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9494,15-15,0,0,0,0,ND,6,s2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9495,30-15,0,0,0,0,ND,"6w,",4,b38,b3,f3,b3,s3,b3,b1,f1,r2,b+3,m1,o2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9496,30-30,0,0,0,0,ND,"6w,",4,f29,f2,f2,f1,f1,f1,f3,f3,b3,b2,f1,f3,b3,o1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9497,40-30,0,0,0,0,ND,cc6,b28,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9498,40-40,0,0,0,0,ND,4,f38,b3,s2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9499,AD-40,0,0,0,0,ND,4,b38,b2,f1,f2,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9500,0-0,1,0,0,0,ST,4,f28,b+3,s2,z1,f1,v3,m1,o1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9501,15-0,1,0,0,0,ST,6,f18,f1,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9502,30-0,1,0,0,0,ST,4,r28,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9503,40-0,1,0,0,0,ST,4,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9504,0-0,1,1,0,0,ND,4,f18,f3,b2,f1,f1,f3,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9505,15-0,1,1,0,0,ND,"4d,",4,b38,b2,f1,f1,r3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9506,30-0,1,1,0,0,ND,"6w,",5,f17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9507,30-15,1,1,0,0,ND,"6n,",5,b29,f2,f1,f1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9508,30-30,1,1,0,0,ND,6,s27,b+3,b1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9509,40-30,1,1,0,0,ND,"6d,",4,b28,f1,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
